id,Hora,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10
1,08:15,12,17,7,11,7,13,10,10,11,9
2,08:30,8,12,11,11,8,9,8,11,12,18
3,08:45,9,7,9,8,7,14,15,11,10,17
4,09:00,11,11,16,12,11,10,3,11,12,16
5,09:15,9,7,8,12,7,7,8,14,14,10
6,09:30,10,6,12,11,17,7,12,12,13,12
7,09:45,12,10,14,12,7,11,5,15,6,8
8,10:00,9,11,5,13,8,12,5,10,8,9
9,10:15,12,12,13,10,11,9,14,6,9,11
10,10:30,4,7,14,15,3,11,12,13,13,13
11,10:45,11,11,6,12,14,13,16,14,5,11
12,11:00,8,6,4,6,7,11,9,10,11,8
13,11:15,12,12,14,7,10,12,10,11,6,9
14,11:30,12,13,8,5,3,6,10,10,8,14
15,11:45,9,1,11,3,11,14,12,9,11,9
16,12:00,8,12,10,13,14,12,4,9,14,4
17,12:15,9,13,6,9,10,10,13,12,11,12
18,12:30,10,8,10,11,13,9,9,12,12,13
19,12:45,15,14,5,9,16,9,11,3,16,11
20,13:00,11,12,9,15,12,5,12,10,11,9
21,13:15,14,8,12,12,10,11,12,9,7,10
22,13:30,11,12,12,6,11,17,7,9,5,8
23,13:45,9,12,10,8,11,13,8,9,16,10
24,14:00,7,10,13,11,13,10,15,5,7,9
25,14:15,15,10,4,14,9,7,11,11,11,14
26,14:30,11,15,6,7,9,5,14,8,5,11
27,14:45,13,6,13,7,9,12,13,14,8,8
28,15:00,9,12,9,16,13,6,7,17,14,15
29,15:15,15,13,17,3,12,12,10,7,10,10
30,15:30,8,7,15,13,14,4,16,14,9,8
31,15:45,7,7,14,16,14,10,10,12,11,9
32,16:00,11,11,12,9,8,14,7,6,12,13
